ID_MASTER;Official_Name;Short_Name;Partner_Name reported;Member_Name;Headquarter Location;Member_Type;Member_Type_2;International_Local;Aggregator_operator;Region of activity;Sector
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;ACTED (Agency for Technical Cooperation and Development);No data;Agency;Secondary organization;International;Aggregator;No data;No data
14;Ocean Risk and Resilience Action Alliance;ORRAA;Ocean Risk and Resilience Action Alliance;Commonwealth Blue Charter;Europa;Aggreement;Secondary organization;International;Aggregator;Global;0
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Climate Smart Agriculture Alliance Zambia (CSA);Zambia;Alliance;Secondary organization;Local;Operator;Africa;A,E,M,S
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Adaptation Research Alliance (ARA);No data;Alliance;Secondary organization;International;Aggregator;No data;No data
21;The Climakers;Climakers;The Climakers;Agriculture Alliane of the Caribbean AACARI ;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;Agro-Shrub Alliance;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Alliance for a Green Revolution in Africa (AGRA);No data;Alliance;Secondary organization;International;Aggregator;No data;No data
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Alliance for Health Policy and Systems Research;Geneva, Switzerland;Alliance;Secondary organization;International;Aggregator;Europe;M, Q
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Alliance of Bioversity International (CIAT);Rome, Italy;Alliance;Secondary organization;International;Aggregator;Africa, Asia, Latin America and the Caribbean;A, J, Q
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Alliance of Indian Wastepickers;Andhra Pradesh, India;Alliance;Secondary organization;International;Aggregator;Asia;Q
27;Adaptation Research Alliance;ARA;Adaptation Research Alliance;Alternative Futures;India;Alliance;Secondary organization;International;Aggregator;Asia;J, Q, O
8;Global Mangrove Alliance;GMA;Global Mangrove Alliance;Audubon;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
6;Extreme Heat Resilience Alliance;EHRA;Extreme Heat Resilience Alliance;City Climate Finance Leadership Alliance ;No Data;Alliance;Secondary organization;International;Aggregator;No data;Finance
18;Climate Resilient Housing;CRH;Climate Resilient Housing;Global Alliance for Buildings & Construction;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Global Alliance for Improved Nutrition (GAIN) ;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;Global Commission on Adaptation;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
5;Efficiency for Access Coalition;EforA;Efficiency for Access;Global Energy Alliance for People and Planet (GEAPP);New York, New York, US;Alliance;Secondary organization;International;Aggregator;Africa, Asia, Latin America and Caribbean ;All
13;Just Rural Transition;JRT;Just Rural Transition;Global Environment Facility (GEF) ;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;Global Forest Generation;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;Global Good Collective;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
7;Global Evergreening Alliance;GEGA;Global Evergreening Alliance;Global Landcare (previously Australian Landcare International);No data;Alliance;Secondary organization;International;Aggregator;No data;No data
19;Risk-informed Early Action Partnership;REAP;Risk-informed Early Action Partnership;Global Network of City Society Organization for Disaster Reduction (GNDR);No data;Alliance;Secondary organization;International;Aggregator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Planetary Health Alliance (PHA);No data;Alliance;Secondary organization;International;Aggregator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Tropical Forest Alliance (TFA) ;No data;Alliance;Secondary organization;International;Aggregator;No data;No data
13;Just Rural Transition;JRT;Just Rural Transition;Environmental and Development Association JASIL;No data;Association;Secondary organization;International;Aggregator;No data;No data
26;Coalition for Climate Resilient Investment;CCRI;Coalition for Climate Resilient Investment;LLOYDS BANKING GROUP;No data;Bank;Investors, Finance and Credit Institutions;International;Operator;No data;No data
